IP:PORT, LOSS, DELAY
162.159.192.36:7152,0.00%,178 ms
162.159.195.74:2371,0.00%,178 ms
162.159.192.175:2371,0.00%,179 ms
162.159.195.178:7152,0.00%,180 ms
162.159.195.78:2371,0.00%,180 ms
162.159.192.36:2371,0.00%,180 ms
162.159.192.60:7152,0.00%,180 ms
162.159.195.24:2371,0.00%,180 ms
162.159.195.139:7152,0.00%,180 ms
162.159.192.25:7152,0.00%,180 ms
162.159.192.46:7152,0.00%,180 ms
162.159.192.192:7152,0.00%,181 ms
162.159.192.147:7152,0.00%,181 ms
162.159.192.164:2371,0.00%,181 ms
162.159.195.78:7152,0.00%,182 ms
162.159.192.169:2371,0.00%,182 ms
162.159.192.222:7152,0.00%,182 ms
162.159.195.139:2371,0.00%,183 ms
162.159.192.87:2371,0.00%,184 ms
162.159.192.223:7152,0.00%,184 ms
162.159.195.157:2371,0.00%,184 ms
162.159.195.23:2371,0.00%,184 ms
162.159.192.175:7152,0.00%,185 ms
162.159.192.87:7152,0.00%,185 ms
162.159.195.128:7152,0.00%,185 ms
162.159.195.128:2371,0.00%,185 ms
162.159.192.28:2371,0.00%,186 ms
162.159.192.44:2371,0.00%,186 ms
162.159.192.89:7152,0.00%,186 ms
162.159.195.174:2371,0.00%,186 ms
162.159.195.23:7152,0.00%,186 ms
162.159.192.192:2371,0.00%,186 ms
162.159.195.162:2371,0.00%,188 ms
162.159.195.19:2371,0.00%,188 ms
162.159.192.44:7152,0.00%,189 ms
162.159.192.89:2371,0.00%,190 ms
162.159.192.63:2371,0.00%,199 ms
162.159.195.19:7152,0.00%,204 ms
162.159.195.228:7152,0.00%,205 ms
188.114.98.233:7152,0.00%,214 ms
188.114.97.153:2371,0.00%,215 ms
188.114.98.233:2371,0.00%,215 ms
188.114.99.83:7152,0.00%,215 ms
188.114.96.205:7152,0.00%,216 ms
188.114.99.29:7152,0.00%,216 ms
188.114.97.202:7152,0.00%,218 ms
188.114.96.133:7152,0.00%,218 ms
188.114.98.102:2371,0.00%,218 ms
188.114.96.133:2371,0.00%,219 ms
188.114.97.220:7152,0.00%,219 ms
188.114.96.83:2371,0.00%,219 ms
188.114.96.199:7152,0.00%,219 ms
188.114.97.153:7152,0.00%,219 ms
188.114.97.162:2371,0.00%,219 ms
188.114.98.244:7152,0.00%,219 ms
188.114.96.121:7152,0.00%,220 ms
188.114.96.130:2371,0.00%,220 ms
188.114.97.202:2371,0.00%,221 ms
188.114.98.102:7152,0.00%,221 ms
188.114.96.121:2371,0.00%,225 ms
188.114.99.226:2371,0.00%,226 ms
188.114.99.109:2371,0.00%,226 ms
188.114.99.226:7152,0.00%,226 ms
188.114.99.109:7152,0.00%,228 ms
188.114.98.134:2371,0.00%,228 ms
188.114.99.252:7152,0.00%,229 ms
188.114.96.169:7152,0.00%,229 ms
188.114.98.68:7152,0.00%,229 ms
188.114.99.144:2371,0.00%,230 ms
188.114.96.199:2371,0.00%,230 ms
188.114.99.121:7152,0.00%,230 ms
188.114.96.41:2371,0.00%,232 ms
188.114.99.31:7152,0.00%,234 ms
188.114.96.157:2371,0.00%,235 ms
188.114.98.103:2371,0.00%,235 ms
188.114.97.183:7152,0.00%,235 ms
188.114.97.183:2371,0.00%,235 ms
188.114.99.183:2371,0.00%,235 ms
188.114.96.157:7152,0.00%,235 ms
188.114.98.193:2371,0.00%,235 ms
188.114.96.183:2371,0.00%,235 ms
188.114.99.121:2371,0.00%,236 ms
188.114.96.134:2371,0.00%,236 ms
188.114.97.200:2371,0.00%,237 ms
188.114.97.151:7152,0.00%,238 ms
188.114.96.130:7152,0.00%,238 ms
188.114.99.183:7152,0.00%,238 ms
188.114.99.144:7152,0.00%,238 ms
188.114.99.31:2371,0.00%,242 ms
188.114.97.151:2371,0.00%,243 ms
188.114.96.94:2371,0.00%,244 ms
188.114.98.239:2371,0.00%,246 ms
188.114.98.39:2371,0.00%,247 ms
162.159.195.16:7152,10.00%,257 ms
162.159.192.222:2371,10.00%,258 ms
162.159.195.178:2371,10.00%,258 ms
162.159.195.221:2371,10.00%,259 ms
162.159.192.46:2371,10.00%,260 ms
162.159.192.28:7152,10.00%,261 ms
162.159.192.164:7152,10.00%,262 ms
162.159.192.169:7152,10.00%,263 ms
162.159.192.60:2371,10.00%,264 ms
162.159.195.74:7152,10.00%,264 ms
162.159.195.24:7152,10.00%,266 ms
162.159.195.96:2371,10.00%,266 ms
162.159.195.174:7152,10.00%,267 ms
162.159.192.147:2371,10.00%,268 ms
162.159.195.162:7152,10.00%,268 ms
162.159.195.157:7152,10.00%,270 ms
162.159.195.228:2371,10.00%,271 ms
162.159.195.221:7152,10.00%,272 ms
162.159.192.223:2371,10.00%,278 ms
188.114.98.244:2371,10.00%,295 ms
188.114.97.128:2371,10.00%,295 ms
188.114.96.41:7152,10.00%,295 ms
188.114.98.27:2371,10.00%,295 ms
188.114.99.83:2371,10.00%,298 ms
188.114.97.57:7152,10.00%,299 ms
188.114.98.177:2371,10.00%,301 ms
188.114.96.169:2371,10.00%,301 ms
188.114.96.25:2371,10.00%,306 ms
188.114.99.52:2371,10.00%,306 ms
188.114.99.191:2371,10.00%,306 ms
188.114.96.205:2371,10.00%,315 ms
188.114.97.128:7152,10.00%,315 ms
188.114.99.52:7152,10.00%,319 ms
188.114.98.134:7152,10.00%,319 ms
188.114.99.252:2371,10.00%,319 ms
188.114.99.29:2371,10.00%,319 ms
188.114.99.191:7152,10.00%,319 ms
188.114.97.200:7152,10.00%,324 ms
162.159.192.25:2371,20.00%,353 ms
188.114.98.27:7152,20.00%,370 ms
188.114.97.162:7152,20.00%,374 ms
188.114.97.220:2371,20.00%,382 ms
188.114.96.83:7152,20.00%,382 ms
188.114.97.24:7152,20.00%,385 ms
188.114.98.239:7152,20.00%,388 ms
188.114.96.183:7152,20.00%,389 ms
188.114.98.103:7152,20.00%,394 ms
188.114.98.193:7152,20.00%,394 ms
188.114.96.134:7152,20.00%,394 ms
188.114.98.68:2371,20.00%,394 ms
188.114.98.39:7152,20.00%,396 ms
162.159.195.96:7152,30.00%,433 ms
162.159.192.63:7152,30.00%,433 ms
188.114.98.177:7152,30.00%,450 ms
188.114.96.25:7152,30.00%,459 ms
188.114.96.94:7152,30.00%,460 ms
188.114.97.24:2371,30.00%,463 ms
162.159.195.16:2371,40.00%,506 ms
188.114.97.57:2371,40.00%,532 ms
162.159.193.138:2371,100.00%,1000 ms
162.159.193.117:2371,100.00%,1000 ms
162.159.193.12:2371,100.00%,1000 ms
162.159.193.207:7152,100.00%,1000 ms
162.159.193.122:2371,100.00%,1000 ms
162.159.193.240:7152,100.00%,1000 ms
162.159.193.138:7152,100.00%,1000 ms
162.159.193.225:2371,100.00%,1000 ms
162.159.193.188:7152,100.00%,1000 ms
162.159.193.207:2371,100.00%,1000 ms
162.159.193.51:7152,100.00%,1000 ms
162.159.193.195:7152,100.00%,1000 ms
162.159.193.204:2371,100.00%,1000 ms
